StockCode,Source,Model,MAE,RMSE,WAPE,Bias
22550,ML,HistGBR,3.130844078857512,3.6805963403609883,0.8737239289834916,-0.8390249841398841
22551,ML,HistGBR,25.829279121629316,39.3097491626202,0.704434885135345,-0.704434885135345
22553,ML,HistGBR,12.361648652818966,17.68212045783649,0.6835934738886065,-0.47962742838322026
22554,ML,HistGBR,10.926412977590468,16.856915731403518,0.5182488368817614,-0.33369050340870143
22555,ML,HistGBR,9.612081756466496,11.526084562736255,0.5492618146552284,-0.16381805512125613
22556,ML,HistGBR,16.522203573179056,27.340276260695624,0.7055745298154756,-0.45982005839548357
22557,ML,HistGBR,5.505655170654471,6.787753287146141,0.5005141064231338,0.11790550485107161
22558,ML,HistGBR,24.365460510995675,42.42496684727449,0.8054697689585347,-0.45106766324133346
22559,ML,HistGBR,0.5743468469668745,0.6799538843091594,2.297387387867498,0.6901937291130315
22560,ML,HistGBR,14.785531520999664,16.914651458223425,0.7241892989877386,-0.31407101724624065
22561,ML,HistGBR,8.322283537491728,9.978621936265476,0.5340502804807526,-0.07913149377128188
22562,ML,HistGBR,6.715433430451355,9.513358144591841,0.8855516611584205,-0.8429774308033249
22563,ML,HistGBR,13.08000732071679,20.34552611840598,0.8438714400462446,-0.8222115574180796
22564,ML,HistGBR,21.914867316981287,63.43314010027776,0.9923713502029262,-0.9227976150672287
22565,ML,HistGBR,4.591396352064742,8.301843594767062,0.9499440728409811,-0.8869196896102145
22566,ML,HistGBR,10.454579780014837,21.794950281909085,0.980116854376391,-0.9381317370691924
22567,ML,HistGBR,5.0890752942184125,7.101529746395918,0.9114761720988201,-0.47816438457680904
22568,ML,HistGBR,14.890813058040166,22.600214367628855,0.8085509352781991,-0.7525390693492916
22569,ML,HistGBR,9.489866844393108,10.808368235374502,2.6483349333190067,2.3048237095540705
22570,ML,HistGBR,11.86546195490957,13.553883851043564,2.1905468224448437,1.1885781253725327
22571,ML,HistGBR,11.58222147730559,14.273710623876537,0.7553622702590602,-0.7553622702590602
22572,ML,HistGBR,12.55162841276397,18.08863738673419,0.8509578584924725,-0.8071908101565421
22573,ML,HistGBR,22.080423704769284,35.22403477549797,0.9395924980752887,-0.9335287939187743
22574,ML,HistGBR,20.492511341624112,23.92882437731769,0.9107782818499606,-0.9107782818499606
22575,ML,HistGBR,2.978603645686834,4.685682128000503,0.8935810937060502,-0.6031416271364918
22576,ML,HistGBR,14.290260293343266,16.43602004876518,0.926935802811455,-0.909117498452308
22577,ML,HistGBR,129.6243175475776,161.60702114019367,0.9857362551146585,-0.9857362551146585
22578,ML,HistGBR,142.65892476302068,189.33169066563312,0.9912606237152566,-0.9912606237152566
22579,ML,HistGBR,57.458970363766205,73.10728066010012,0.9808074599789395,-0.9780838661223912
22580,ML,HistGBR,13.029687145553877,22.797979666720014,0.9476136105857365,-0.930953034632783
22581,ML,HistGBR,14.668706160262573,22.126188967692983,0.9514836428278426,-0.8891990632079253
22582,ML,HistGBR,13.80372824031757,41.56606917801371,0.9978598727940412,-0.9608476166258959
22583,ML,HistGBR,1.3398064871774187,2.0081767097931884,1.1484055604377874,-0.46626284125730955
22584,ML,HistGBR,3.702965174967906,5.09711487875663,0.8545304249925937,-0.6333093444720225
22585,ML,HistGBR,10.776814599494609,13.612640594803247,0.7790468385176826,-0.7070530060171429
22586,ML,HistGBR,3.6485248351859827,5.763329142489689,0.8584764318084666,-0.772552651398503
22587,ML,HistGBR,6.609575884409363,11.560586775643817,0.9116656392288777,-0.8512911764248524
22588,ML,HistGBR,3.6218301169372134,4.872854719364116,0.8521953216322855,-0.6172803721874963
22589,ML,HistGBR,3.763771144919147,4.30479890317435,0.9217398722250972,-0.8778579551545685
22591,ML,HistGBR,7.119943789455653,11.716048673916653,0.9388936865216245,-0.8768781522444872
22592,ML,HistGBR,3.604402745728077,5.248376163126532,0.8317852490141716,-0.7244822515720257
22593,ML,HistGBR,13.158179004148707,14.73095081139107,0.9074606209757728,-0.9074606209757728
22594,ML,HistGBR,18.415275381382795,22.269089584744833,0.9363699346465828,-0.9363699346465828
22595,ML,HistGBR,28.232981555857805,48.1120808607447,0.8009356469746896,-0.7315681212106157
22596,ML,HistGBR,26.325117734925183,30.244334399848874,0.8848779070563086,-0.8848779070563086
22597,ML,HistGBR,39.71707161087078,54.82347663373699,0.9806684348363157,-0.9726491493713139
22598,ML,HistGBR,17.66614445291207,30.47536853776545,0.9592476626015605,-0.9499134795410138
22599,ML,HistGBR,23.671543997288083,39.20560151464353,0.9661854692770646,-0.9141764009239005
22600,ML,HistGBR,14.108867306475299,18.510835610114516,0.8727134416376474,-0.8725332235015619
22601,ML,HistGBR,12.797016842900305,13.985839294677334,0.8256139898645358,-0.8256139898645358
22602,ML,HistGBR,15.79235159927211,18.30929337393093,0.911097207650314,-0.9000877329866055
22603,ML,HistGBR,10.654524398644952,14.217320327734358,0.881753743336134,-0.8676062365249892
22604,ML,HistGBR,2.457003427024014,3.9374859463070333,0.9510981007834893,-0.8001443599534376
22605,ML,HistGBR,1.049251916447316,1.3519443924332606,0.8993587855262709,-0.08785629462135804
22606,ML,HistGBR,0.4849486587793863,0.5092606580468283,1.9397946351175452,0.7200693627466853
22607,ML,HistGBR,1.1853314279888296,1.7889538843032096,0.8367045374038797,-0.5674599951358538
22608,ML,HistGBR,24.048330998778955,29.54244614723488,0.7287373029933016,-0.57866561530602
22609,ML,HistGBR,40.4482312939941,54.861652669406716,0.9535928792297234,-0.9366343604999176
22610,ML,HistGBR,43.00561547205382,54.90311490112762,0.7964002865195151,-0.7964002865195151
22611,ML,HistGBR,0.7153734867945637,0.9687919149289772,1.7168963683069527,0.0914059295499268
22612,ML,HistGBR,0.4639325136026487,0.501765269968624,,
22613,ML,HistGBR,3.1774989624236394,4.429190315131902,1.2709995849694558,-0.05572425108799219
22614,ML,HistGBR,10.076961295185976,12.154292743399782,1.2092353554223172,0.17538451563899926
22615,ML,HistGBR,18.084136258355,37.535346918809225,0.9954570417443119,-0.8795875002459076
22616,ML,HistGBR,109.85744105312148,250.82785921359914,0.9251152930789177,-0.8428005792158015
22617,ML,HistGBR,5.845930745904256,7.874935738951874,0.7085976661702128,-0.7085976661702128
22618,ML,HistGBR,0.429190587818949,0.46761451450806457,,
22619,ML,HistGBR,14.735113327922333,25.97023593713293,0.9114503089436494,-0.9114503089436494
22620,ML,HistGBR,11.095927203996252,13.290765139759849,0.8021152195659941,-0.8011558355741939
22621,ML,HistGBR,32.222551248215986,69.25622982043322,0.7295671980728147,-0.6753911680758184
22622,ML,HistGBR,3.6199438947727827,5.097159389434474,0.7757022631655962,-0.6818647453864969
22623,ML,HistGBR,3.9185110318271157,7.2400651746869,0.7708546292118916,-0.7387799044592778
22624,ML,HistGBR,4.990762164243027,10.562837770751182,0.6581224831968827,-0.3575524813626057
22625,ML,HistGBR,2.4136164542448797,3.841105719907479,0.5464791971875199,-0.45871344060504454
22626,ML,HistGBR,1.0892005035340768,1.3515686777135418,1.0892005035340768,-0.3640422183549337
22627,ML,HistGBR,3.1495620491967777,4.282573998363657,0.7268220113531025,-0.6535035337955062
22628,ML,HistGBR,3.0976450617149176,5.243541712941055,1.0046416416372705,-0.7570726055284343
22629,ML,HistGBR,24.751465496166436,25.957583117594687,0.9489379742939209,0.22237365450601765
22630,ML,HistGBR,44.125794643591064,90.58712883650647,0.8680484192181849,-0.6263205392462112
22631,ML,HistGBR,10.94349820644888,17.043705428576803,0.8813555602509164,-0.13157281167283577
22632,ML,HistGBR,25.667821876658092,36.851128933502004,0.900625329005547,-0.900625329005547
22633,ML,HistGBR,44.20029343396431,60.59516722615031,0.8392460778600819,-0.8392460778600819
22634,ML,HistGBR,3.843659059402034,7.3323801815351946,0.9043903669181257,-0.8679682706065572
22635,ML,HistGBR,1.278331257446882,1.8010870207347482,0.7669987544681292,-0.6077337057262271
22636,ML,HistGBR,1.3043202447948001,1.6688672269800986,0.8695468298632001,-0.659436735877675
22637,ML,HistGBR,72.96751144835754,215.41513872475622,0.9882732927542782,-0.9443062317055463
22638,ML,HistGBR,2.2240766277308106,3.41216630560022,1.026496905106528,-0.6910843468602402
22639,ML,HistGBR,7.08738952679857,13.52276681724387,0.9449852702398093,-0.9212244895090492
22640,ML,HistGBR,1.7290899606834274,2.6214732051384253,1.0374539764100565,-0.611861019087985
22641,ML,HistGBR,0.9051923189762873,1.2000446975347518,0.9874825297923134,-0.5001738479051944
22642,ML,HistGBR,2.710965627947808,3.869983816788771,0.9568113980992263,-0.8244959110217543
22643,ML,HistGBR,3.785220084174618,9.776845525817826,1.0323327502294413,-0.8238465574003248
22644,ML,HistGBR,9.700538649800837,22.271820570169236,0.9700538649800837,-0.7975679195048616
22645,ML,HistGBR,6.064633684255123,11.955275305363156,0.8984642495192775,-0.5651520137005069
22646,ML,HistGBR,12.654194321867507,22.670670852704927,0.8880136366222812,-0.6268709566814
22647,ML,HistGBR,7.5253037425950025,15.527263122716146,1.0379729300131038,-0.9357430319734753
22649,ML,HistGBR,1.2972563272582438,2.2210620343622987,1.2972563272582438,-0.12303047064754286
22650,ML,HistGBR,2.926292231521522,4.956112698865795,0.9003976096989299,-0.7311297644769064
22651,ML,HistGBR,3.5443359519292685,5.246893749514074,0.9049368387904516,-0.6729471103364689
22652,ML,HistGBR,11.427054075924147,11.857805775986545,2.077646195622572,1.483337013832683
22653,ML,HistGBR,4.107864397141461,5.628868269319237,0.8962613230126824,-0.7479463223991554
22654,ML,HistGBR,2.363583436083462,3.320661395066458,0.7665676008919337,-0.6339061087899622
22655,ML,HistGBR,0.46879114323274335,0.4860661182192834,2.81274685939646,1.6745708480967436
22656,ML,HistGBR,0.432085551388153,0.45579843230743866,5.1850266166578365,3.9396402505177184
22659,ML,HistGBR,20.77437981337224,29.984638054138404,0.9336799916122355,-0.15823144153060206
22660,ML,HistGBR,5.703892910135241,14.463298878203247,1.0370714382064072,-0.8322530408002683
22661,ML,HistGBR,9.467933476154883,10.515955695078404,0.9547495942341059,-0.03775654007523415
22662,ML,HistGBR,17.761721957293368,30.439278640581833,0.9266985369022627,-0.2514080266486761
22663,ML,HistGBR,16.363453740651863,29.23279953229524,1.128514051079439,-0.1037739273740833
22664,ML,HistGBR,5.3133735347000055,11.889953542944207,0.9809304987138472,-0.8892539344687306
22665,ML,HistGBR,1.36674763215715,1.5719255571358686,1.64009715858858,0.9915706025409963
22666,ML,HistGBR,27.576811552212508,73.7481760777972,0.8231884045436569,-0.6261778584663442
22667,ML,HistGBR,8.189095913561722,14.746631529308559,0.6920362743854976,-0.5305132952004432
22668,ML,HistGBR,3.7394880266378814,5.887657639441278,0.9157929861153996,-0.6400760495105271
22669,ML,HistGBR,4.040097548715466,5.02176710859481,0.950611187933051,-0.8453577904596262
22670,ML,HistGBR,6.324841919079398,9.343564997726608,0.8161086347199223,-0.4615411349673186
22671,ML,HistGBR,2.1052670096038315,3.628580179843744,1.0984001789237383,-0.5581582711870823
22672,ML,HistGBR,3.813549915456848,5.295447900233943,0.9736723188400463,-0.4636220628797914
22673,ML,HistGBR,2.760555872221216,4.55311248368255,1.142298981608779,-0.4769296765622611
